,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
0,0,,ACH,2019-06-01,5374.02,C,19-GP-ROSN
1,0,,ACH,2019-03-01,0.0,C,19-GP-ROSN
2,0,,ACH,2019-03-01,0.0,C,19-GP-ROSN
3,0,,ACH,2019-03-01,0.0,C,19-GP-ROSN
4,0,,ACH,2019-04-01,0.0,CDTX,19-GP-ROSN
5,0,,ACH,2019-04-01,0.0,C,19-GP-ROSN
6,0,,ACH,2019-04-01,0.0,C,19-GP-ROSN
7,0,,ACH,2019-04-01,3937.43,C,19-GP-ROSN
8,0,,ACH,2019-05-01,0.0,CDTX,19-GP-ROSN
9,0,,ACH,2019-05-01,8393.98,CC,19-GP-ROSN
10,0,,ACH,2019-05-01,0.0,C,19-GP-ROSN
11,0,,ACH,2019-05-01,2866.9,C,19-GP-ROSN
12,0,,ACH,2019-05-01,5428.0,C,19-GP-ROSN
13,0,,ACH,2019-06-01,8872.75,CC,19-GP-ROSN
14,0,,ACH,2019-06-01,0.0,C,19-GP-ROSN
15,0,,ACH,2019-06-01,4417.64,C,19-GP-ROSN
16,0,,ACH,2019-03-01,0.0,CC,19-GP-ROSN
17,0,,ACH,2019-03-01,0.0,CDTX,19-GP-ROSN
18,0,,ACH,2019-04-01,6038.43,CC,19-GP-ROSN
