,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
129,0,,ACH,2019-10-01,2733.87,C,19-TK-VILL
130,0,,ACH,2019-07-01,1704.06,C,19-TK-VILL
131,0,,ACH,2019-04-01,2583.39,C,19-TK-VILL
132,0,,ACH,2019-04-01,0.0,C,19-TK-VILL
133,0,,ACH,2019-04-01,8479.34,CC,19-TK-VILL
134,0,,ACH,2019-02-01,2579.02,C,19-TK-VILL
135,0,,ACH,2019-10-01,2761.56,C,19-TK-VILL
136,0,,ACH,2019-11-01,2688.25,C,19-TK-VILL
137,0,,ACH,2019-03-01,0.0,C,19-TK-VILL
138,0,,ACH,2019-03-01,8477.35,CC,19-TK-VILL
139,0,,ACH,2019-03-01,2583.39,C,19-TK-VILL
140,0,,ACH,2019-11-01,8570.35,CC,19-TK-VILL
141,0,,ACH,2019-11-01,2664.09,C,19-TK-VILL
142,0,,ACH,2019-10-01,8629.8,CC,19-TK-VILL
143,0,,ACH,2019-09-01,2912.87,C,19-TK-VILL
144,0,,ACH,2019-12-01,2376.72,C,19-TK-VILL
145,0,,ACH,2019-02-01,8462.26,8477.35,19-TK-VILL
146,0,,ACH,2019-08-01,2790.41,C,19-TK-VILL
147,0,,ACH,2019-12-01,8600.1,CC,19-TK-VILL
148,0,,ACH,2019-01-01,8498.46,CC,19-TK-VILL
149,0,,ACH,2019-08-01,8243.38,CC,19-TK-VILL
150,0,,ACH,2019-02-01,0.0,C,19-TK-VILL
151,0,,ACH,2019-12-01,2725.03,C,19-TK-VILL
152,0,,ACH,2019-09-01,2884.47,C,19-TK-VILL
153,0,,ACH,2019-01-01,2587.82,C,19-TK-VILL
154,0,,ACH,2019-01-01,0.0,C,19-TK-VILL
155,0,,ACH,2019-09-01,8600.1,CC,19-TK-VILL
156,0,,ACH,2019-07-01,2801.06,C,19-TK-VILL
157,0,,ACH,2019-07-01,8629.8,CC,19-TK-VILL
158,0,,ACH,2019-08-01,2766.45,C,19-TK-VILL
159,0,,ACH,2019-06-01,0.0,CDTX,19-TK-VILL
