,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
168,0,,ACH,2019-12-01,7165.55,S,20-STRUCT
169,0,,ACH,2019-02-01,4752.78,S,20-STRUCT
170,0,,ACH,2019-02-01,0.0,S,20-STRUCT
171,0,,ACH,2019-01-01,4539.16,S,20-STRUCT
172,0,,ACH,2019-12-01,4044.47,S,20-STRUCT
173,0,,ACH,2019-11-01,7615.55,S,20-STRUCT
174,0,,ACH,2019-12-01,4253.92,S,20-STRUCT
175,0,,ACH,2019-01-01,4752.78,S,20-STRUCT
176,0,,ACH,2019-04-01,3885.76,S,20-STRUCT
177,0,,ACH,2019-11-01,4478.67,S,20-STRUCT
178,0,,ACH,2019-08-01,3124.25,S,20-STRUCT
179,0,,ACH,2019-08-01,4703.56,S,20-STRUCT
180,0,,ACH,2019-07-01,2979.47,S,20-STRUCT
181,0,,ACH,2019-07-01,4044.47,S,20-STRUCT
182,0,,ACH,2019-08-01,7615.55,S,20-STRUCT
183,0,,ACH,2019-06-01,7615.55,S,20-STRUCT
184,0,,ACH,2019-06-01,4928.41,S,20-STRUCT
185,0,,ACH,2019-09-01,4044.47,S,20-STRUCT
186,0,,ACH,2019-06-01,4182.26,S,20-STRUCT
187,0,,ACH,2019-09-01,3804.23,S,20-STRUCT
188,0,,ACH,2019-05-01,7399.64,S,20-STRUCT
189,0,,ACH,2019-02-01,4539.16,S,20-STRUCT
190,0,,ACH,2019-09-01,7615.55,S,20-STRUCT
191,0,,ACH,2019-05-01,1993.54,S,20-STRUCT
192,0,,ACH,2019-04-01,4539.5,S,20-STRUCT
193,0,,ACH,2019-10-01,4044.47,S,20-STRUCT
194,0,,ACH,2019-10-01,4928.41,S,20-STRUCT
195,0,,ACH,2019-07-01,7615.55,S,20-STRUCT
196,0,,ACH,2019-04-01,0.0,S,20-STRUCT
197,0,,ACH,2019-10-01,7615.55,S,20-STRUCT
198,0,,ACH,2019-03-01,4539.13,S,20-STRUCT
199,0,,ACH,2019-03-01,3452.23,S,20-STRUCT
200,0,,ACH,2019-03-01,0.0,S,20-STRUCT
201,0,,ACH,2019-11-01,4044.47,S,20-STRUCT
202,0,,ACH,2019-05-01,4827.92,S,20-STRUCT
203,0,,ACH,2019-01-01,0.0,S,20-STRUCT
