,Date,Journal,Section analytique,Général,Débit,Crédit,POSTE,SOUS POSTE
0,2019-07-11,ACH,19-PRO-NLG,215500,189.18,0.0,,
1,2019-08-30,ACH,19-PRO-NLG,215400,1400.0,0.0,,
2,2019-09-20,ACH,19-PRO-NLG,215400,1400.0,0.0,,
3,2019-09-30,ACH,19-PRO-NLG,611423,1500.0,0.0,,
4,2019-09-30,OD,19-PRO-NLG,601000,213.2,0.0,,
5,2019-10-28,ACH,19-PRO-NLG,611423,1500.0,0.0,,
6,2019-11-28,ACH,19-PRO-NLG,611423,1500.0,0.0,,
7,2019-11-30,OD,19-PRO-NLG,601000,12.35,0.0,,
8,2019-12-03,ACH,19-PRO-NLG,601020,721.56,0.0,,
9,2019-12-06,ACH,19-PRO-NLG,635800,17355.0,0.0,,
10,2019-12-10,ACH,19-PRO-NLG,613101,626.38,0.0,,
11,2019-12-23,ACH,19-PRO-NLG,611428,950.0,0.0,,
12,2019-12-27,ACH,19-PRO-NLG,611425,350.0,0.0,,
13,2019-12-31,VEN,19-PRO-NLG,706020,0.0,34854.55,,
14,2019-12-31,ACH,19-PRO-NLG,613110,3864.52,0.0,,
15,2019-12-31,ACH,19-PRO-NLG,601040,82.48,0.0,,
16,2019-12-31,ACH,19-PRO-NLG,613104,7234.03,0.0,,
17,2019-12-31,ACH,19-PRO-NLG,608900,1650.0,0.0,,
18,2019-12-31,ACH,19-PRO-NLG,611428,6600.0,0.0,,
19,2019-12-31,ACH,19-PRO-NLG,601030,4627.0,0.0,,
