,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
19,0,,ACH,2020-03-01,3764.8668375539683,CC,19-LE-VILL
20,0,,ACH,2020-08-01,438.7,CC,19-LE-VILL
21,0,,ACH,2020-12-01,0.0,CC,19-LE-VILL
22,0,,ACH,2020-11-01,0.0,CC,19-LE-VILL
23,0,,ACH,2020-05-01,5838.961079109752,CC,19-LE-VILL
24,0,,ACH,2020-10-01,0.0,CC,19-LE-VILL
25,0,,ACH,2020-04-01,2530.737325199708,CC,19-LE-VILL
26,0,,ACH,2020-05-01,4867.188691301075,C,19-LE-VILL
27,0,,ACH,2020-01-01,5262.006358724184,CC,19-LE-VILL
28,0,,ACH,2020-02-01,5479.571482302332,CC,19-LE-VILL
29,0,,ACH,2020-06-01,5616.722091111762,CC,19-LE-VILL
30,0,,ACH,2020-09-01,5169.66,CC,19-LE-VILL
31,0,,ACH,2020-07-01,5196.66,CC,19-LE-VILL
