,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
83,0,,ACH,2020-08-01,0.0,CDTX,19-ROCH-LP
84,0,,ACH,2020-07-01,4351.34,C,19-ROCH-LP
85,0,,ACH,2020-08-01,5890.58,CC,19-ROCH-LP
86,0,,ACH,2020-08-01,1511.96,C,19-ROCH-LP
87,0,,ACH,2020-07-01,5273.17,C,19-ROCH-LP
88,0,,ACH,2020-12-01,0.0,C,19-ROCH-LP
89,0,,ACH,2020-12-01,0.0,CC,19-ROCH-LP
90,0,,ACH,2020-08-01,3752.15,C,19-ROCH-LP
91,0,,ACH,2020-11-01,0.0,C,19-ROCH-LP
92,0,,ACH,2020-10-01,0.0,CDTX,19-ROCH-LP
93,0,,ACH,2020-09-01,5282.35,C,19-ROCH-LP
94,0,,ACH,2020-09-01,4366.63,C,19-ROCH-LP
95,0,,ACH,2020-10-01,0.0,C,19-ROCH-LP
96,0,,ACH,2020-10-01,0.0,C,19-ROCH-LP
97,0,,ACH,2020-11-01,0.0,CDTX,19-ROCH-LP
98,0,,ACH,2020-12-01,0.0,CDTX,19-ROCH-LP
99,0,,ACH,2020-11-01,0.0,CC,19-ROCH-LP
100,0,,ACH,2020-09-01,2793.56,CC,19-ROCH-LP
101,0,,ACH,2020-09-01,0.0,CDTX,19-ROCH-LP
102,0,,ACH,2020-11-01,0.0,C,19-ROCH-LP
103,0,,ACH,2020-10-01,0.0,C,19-ROCH-LP
104,0,,ACH,2020-08-01,375.87,C,19-ROCH-LP
105,0,,ACH,2020-11-01,0.0,C,19-ROCH-LP
106,0,,ACH,2020-09-01,4832.61,C,19-ROCH-LP
107,0,,ACH,2020-10-01,0.0,CC,19-ROCH-LP
108,0,,ACH,2020-12-01,0.0,C,19-ROCH-LP
109,0,,ACH,2020-02-01,8623.307013861311,CC,19-ROCH-LP
110,0,,ACH,2020-02-01,5163.5687341474495,C,19-ROCH-LP
111,0,,ACH,2020-04-01,2109.5492713480407,C,19-ROCH-LP
112,0,,ACH,2020-02-01,6691.062788690833,CDTX,19-ROCH-LP
113,0,,ACH,2020-01-01,4926.7647175832,C,19-ROCH-LP
114,0,,ACH,2020-01-01,4474.6754514235745,C,19-ROCH-LP
115,0,,ACH,2020-02-01,5130.468799552675,C,19-ROCH-LP
116,0,,ACH,2020-07-01,4823.42,C,19-ROCH-LP
117,0,,ACH,2020-02-01,4659.687260834827,C,19-ROCH-LP
118,0,,ACH,2020-01-01,4958.5504268989,C,19-ROCH-LP
119,0,,ACH,2020-01-01,8280.920595108953,CC,19-ROCH-LP
120,0,,ACH,2020-01-01,6425.395681839073,CDTX,19-ROCH-LP
121,0,,ACH,2020-07-01,0.0,CDTX,19-ROCH-LP
122,0,,ACH,2020-07-01,8051.57,CC,19-ROCH-LP
123,0,,ACH,2020-12-01,0.0,C,19-ROCH-LP
