,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
497,ACH,2020-05-30,613105,19-DIV0000,COLTRIVAL,1113.2,0.0,,
513,VEN,2020-05-30,611400,19-DIV0000,BRG BAT,22846.0,0.0,,
514,VEN,2020-05-30,706020,19-DIV0000,RETENUE DE PRORATA 1%,0.0,23250.6,,
685,VEN,2020-04-30,706020,19-DIV0000,PRORATA 1%,0.0,40294.8,,
686,VEN,2020-04-30,611400,19-DIV0000,BRG BAT,40099.0,0.0,,
857,ACH,2020-03-19,611444,19-DIV0000,CETP - METREE,2400.0,0.0,,
888,ACH,2020-03-13,611433,19-DIV0000,KILOTOU,20.2,0.0,,
906,VEN,2020-03-10,706020,19-DIV0000,CLIENT DIVERS,0.0,2000.0,,
907,VEN,2020-03-10,706020,19-DIV0000,CLIENT DIVERS,0.0,1300.0,,
972,ACH,2020-02-29,601000,19-DIV0000,POINT P,73.82,0.0,,
1001,ACH,2020-02-29,601000,19-DIV0000,DECOCERAM,871.78,0.0,,
1029,ACH,2020-02-29,611400,19-DIV0000,LE PIN PEINTURE,1500.0,0.0,,
1044,VEN,2020-02-28,706020,19-DIV0000,VENDOME,0.0,20580.0,,
1058,ACH,2020-02-25,611428,19-DIV0000,GCM,1090.0,0.0,,
1105,ACH,2020-02-10,611428,19-DIV0000,TECHDIAM,1180.0,0.0,,
1122,ACH,2020-02-06,611428,19-DIV0000,BARAK,2270.8,0.0,,
1130,ACH,2020-02-04,611433,19-DIV0000,LIBERTE TP,20000.0,0.0,,
1195,ACH,2020-01-31,601000,19-DIV0000,POINT P,461.64,0.0,,
1213,ACH,2020-01-31,601000,19-DIV0000,POINT P,226.68,0.0,,
1218,ACH,2020-01-31,601000,19-DIV0000,POINT P ANTONIO,1108.7,0.0,,
1220,ACH,2020-01-31,601000,19-DIV0000,POINT P,8.3,0.0,,
1396,ANO,2020-01-01,215500,19-DIV0000,Report à nouveau,589.99,0.0,,
