,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
47,ACH,2020-07-31,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
52,ACH,2020-07-30,601020,19-GP-ROSN,NORMAFER,3061.54,0.0,,
53,ACH,2020-07-30,601020,19-GP-ROSN,AMS,2611.41,0.0,,
54,ACH,2020-07-30,601040,19-GP-ROSN,AMS,301.38,0.0,,
57,ACH,2020-07-29,601020,19-GP-ROSN,NORMAFER,2151.07,0.0,,
64,ACH,2020-07-27,606108,19-GP-ROSN,BSI,3609.68,0.0,,
71,ACH,2020-07-25,611432,19-GP-ROSN,CETP - METREE,2500.0,0.0,,
76,ACH,2020-07-23,613101,19-GP-ROSN,CTP,2402.23,0.0,,
78,ACH,2020-07-23,611435,19-GP-ROSN,SUEZ,562.9,0.0,,
85,ACH,2020-07-21,601040,19-GP-ROSN,BARILLET-FALGUIER,80.0,0.0,,
86,ACH,2020-07-20,601020,19-GP-ROSN,NORMAFER,8790.18,0.0,,
90,ACH,2020-07-19,621500,19-GP-ROSN,OMEGA INTERIM,2380.0,0.0,,
92,ACH,2020-07-17,601040,19-GP-ROSN,AMS,1201.0,0.0,,
93,ACH,2020-07-17,601020,19-GP-ROSN,AMS,1197.1,0.0,,
100,ACH,2020-07-17,606102,19-GP-ROSN,EDF,311.26,0.0,,
124,ACH,2020-07-10,601020,19-GP-ROSN,NORMAFER,11053.23,0.0,,
126,ACH,2020-07-10,613513,19-GP-ROSN,COUGNARD,85.0,0.0,,
133,ACH,2020-07-09,601040,19-GP-ROSN,SCORS,47.25,0.0,,
144,ACH,2020-07-08,611420,19-GP-ROSN,STEBAT,5000.0,0.0,,
147,ACH,2020-07-07,601020,19-GP-ROSN,NORMAFER,6334.97,0.0,,
156,ACH,2020-07-03,601000,19-GP-ROSN,PLAKA GROUP,175.4,0.0,,
157,ACH,2020-07-03,601000,19-GP-ROSN,PLAKA GROUP,587.0,0.0,,
158,ACH,2020-07-03,604923,19-GP-ROSN,BTM,55587.57,0.0,,
163,ACH,2020-07-02,601960,19-GP-ROSN,B2M,283.92,0.0,,
185,ACH,2020-07-01,601040,19-GP-ROSN,LEROY MERLIN,23.9,0.0,,
186,ACH,2020-07-01,601040,19-GP-ROSN,LEROY MERLIN,44.17,0.0,,
187,ACH,2020-07-01,601040,19-GP-ROSN,SCORS,139.6,0.0,,
188,ACH,2020-06-30,601020,19-GP-ROSN,NORMAFER,6185.16,0.0,,
189,ACH,2020-06-30,608301,19-GP-ROSN,LPP,830.0,0.0,,
190,ACH,2020-06-30,613109,19-GP-ROSN,LPP,5736.84,0.0,,
192,ACH,2020-06-30,613101,19-GP-ROSN,LOXAM,35.36,0.0,,
193,ACH,2020-06-30,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
198,ACH,2020-06-30,621500,19-GP-ROSN,OMEGA INTERIM,3797.8,0.0,,
199,ACH,2020-06-30,604922,19-GP-ROSN,BATI DAL - SOUS TRAITANT,5317.55,0.0,,
202,ACH,2020-06-30,601040,19-GP-ROSN,PROLIANS,109.31,0.0,,
206,ACH,2020-06-30,601030,19-GP-ROSN,SATM BETONS,0.0,1110.0,,
207,ACH,2020-06-30,601030,19-GP-ROSN,SATM BETONS,40503.25,0.0,,
210,ACH,2020-06-30,601010,19-GP-ROSN,BARILLET-FALGUIER,581.2,0.0,,
211,ACH,2020-06-30,601010,19-GP-ROSN,BARILLET-FALGUIER,1086.28,0.0,,
212,ACH,2020-06-30,601010,19-GP-ROSN,BARILLET-FALGUIER,1796.0,0.0,,
215,ACH,2020-06-30,613104,19-GP-ROSN,LOGA GRUE,353.0,0.0,,
217,ACH,2020-06-30,613104,19-GP-ROSN,LOGA GRUE,4017.0,0.0,,
218,ACH,2020-06-30,613104,19-GP-ROSN,LOGA GRUE,1390.5,0.0,,
227,ACH,2020-06-30,613511,19-GP-ROSN,STI,680.0,0.0,,
233,ACH,2020-06-30,601000,19-GP-ROSN,OLIVIERI,1523.92,0.0,,
234,ACH,2020-06-30,601020,19-GP-ROSN,NORMAFER,6185.16,0.0,,
238,ACH,2020-06-30,613110,19-GP-ROSN,COUGNARD,475.83,0.0,,
241,ACH,2020-06-30,613101,19-GP-ROSN,BT MAT,180.0,0.0,,
242,ACH,2020-06-30,604923,19-GP-ROSN,BTM,32892.0,0.0,,
243,ACH,2020-06-30,613111,19-GP-ROSN,ALTRAD,4141.12,0.0,,
244,ACH,2020-06-30,613113,19-GP-ROSN,ALTRAD,389.5,0.0,,
245,ACH,2020-06-30,608301,19-GP-ROSN,ALTRAD,700.0,0.0,,
250,ACH,2020-06-30,601000,19-GP-ROSN,AMS,177.0,0.0,,
251,ACH,2020-06-30,215500,19-GP-ROSN,AMS,345.0,0.0,,
252,ACH,2020-06-30,613110,19-GP-ROSN,KILOTOU,2420.8,0.0,,
