,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
49,ACH,2020-07-31,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
50,ACH,2020-07-30,604922,19-LE-VILL,BATI DAL - SOUS TRAITANT,630.0,0.0,,
73,ACH,2020-07-24,608301,19-LE-VILL,HELP SERVICE,500.0,0.0,,
88,ACH,2020-07-20,601000,19-LE-VILL,AMS,1114.5,0.0,,
89,ACH,2020-07-20,608301,19-LE-VILL,HELP,250.0,0.0,,
102,ACH,2020-07-17,601000,19-LE-VILL,LANCERY,1624.0,0.0,,
104,ACH,2020-07-17,601000,19-LE-VILL,LANCERY,5115.8,0.0,,
109,ACH,2020-07-16,635800,19-LE-VILL,frais de voirie,129.9,0.0,,
110,ACH,2020-07-16,635800,19-LE-VILL,frais de voirie,1806.65,0.0,,
118,ACH,2020-07-15,601000,19-LE-VILL,STARMAT,881.07,0.0,,
128,ACH,2020-07-10,611435,19-LE-VILL,KILOTOU,400.0,0.0,,
130,ACH,2020-07-10,606102,19-LE-VILL,EDF,282.89,0.0,,
164,ACH,2020-07-02,601960,19-LE-VILL,B2M,544.78,0.0,,
191,ACH,2020-06-30,613113,19-LE-VILL,LPP,1127.74,0.0,,
197,ACH,2020-06-30,601030,19-LE-VILL,SYNEOS / IDF,22697.0,0.0,,
226,ACH,2020-06-30,613511,19-LE-VILL,STI,500.0,0.0,,
236,ACH,2020-06-30,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
240,ACH,2020-06-30,604923,19-LE-VILL,BATI DAL - SOUS TRAITANT,2010.0,0.0,,
262,ACH,2020-06-30,611420,19-LE-VILL,IBAT,1750.0,0.0,,
263,ACH,2020-06-30,621500,19-LE-VILL,CONNECT INTERIM,8079.88,0.0,,
264,ACH,2020-06-30,613110,19-LE-VILL,VAC LOC DE BASE VIE,682.6,0.0,,
273,ACH,2020-06-30,601040,19-LE-VILL,LOXAM,305.0,0.0,,
276,ACH,2020-06-30,613105,19-LE-VILL,COLTRIVAL,580.0,0.0,,
278,ACH,2020-06-30,613109,19-LE-VILL,NORMAFER,495.24,0.0,,
295,VEN,2020-06-30,706020,19-LE-VILL,SCCV DE L EPOQUE,0.0,89680.88,,
296,VEN,2020-06-30,604923,19-LE-VILL,SCCV DE L EPOQUE,0.0,16753.31,,
298,ACH,2020-06-29,601040,19-LE-VILL,AMS,82.7,0.0,,
306,ACH,2020-06-26,606103,19-LE-VILL,VEOLIA,124.68,0.0,,
317,ACH,2020-06-22,601020,19-LE-VILL,NORMAFER,3094.12,0.0,,
326,ACH,2020-06-20,613111,19-LE-VILL,GRENKE LOCATION,6739.2,0.0,,
331,ACH,2020-06-19,601000,19-LE-VILL,LANCERY SAFIRE,729.94,0.0,,
337,ACH,2020-06-17,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
347,ACH,2020-06-16,601060,19-LE-VILL,B2M,2274.0,0.0,,
349,ACH,2020-06-15,613105,19-LE-VILL,COLTRIVAL,580.0,0.0,,
373,ACH,2020-06-11,611438,19-LE-VILL,CONCEPT SERVICES,2110.0,0.0,,
375,ACH,2020-06-11,611438,19-LE-VILL,S CONCEPT,950.0,0.0,,
376,ACH,2020-06-10,601020,19-LE-VILL,AMS,2826.0,0.0,,
377,ACH,2020-06-10,601000,19-LE-VILL,AMS,1528.98,0.0,,
379,ACH,2020-06-09,606102,19-LE-VILL,EDF,269.59,0.0,,
408,ACH,2020-05-31,613511,19-LE-VILL,STI,500.0,0.0,,
427,ACH,2020-05-31,613101,19-LE-VILL,LOXAM,87.32,0.0,,
430,ACH,2020-05-31,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
439,ACH,2020-05-31,604922,19-LE-VILL,BATI DAL - SOUS TRAITANT,3145.0,0.0,,
454,ACH,2020-05-31,608301,19-LE-VILL,LPP,1475.0,0.0,,
455,ACH,2020-05-31,613113,19-LE-VILL,LPP,2148.04,0.0,,
472,ACH,2020-05-31,601030,19-LE-VILL,SYNEOS / IDF,23884.75,0.0,,
485,ACH,2020-05-31,613109,19-LE-VILL,NORD COFFRAGE ILE DE FRANCE,276.63,0.0,,
494,VEN,2020-05-31,604924,19-LE-VILL,FIRABAT,13327.75,0.0,,
495,VEN,2020-05-31,706020,19-LE-VILL,SCCV DE L EPOQUE 20%,0.0,73592.19,,
501,ACH,2020-05-30,613105,19-LE-VILL,COLTRIVAL,290.0,0.0,,
505,ACH,2020-05-30,611420,19-LE-VILL,IBAT,1750.0,0.0,,
516,ACH,2020-05-29,601020,19-LE-VILL,NORMAFER,2614.12,0.0,,
521,ACH,2020-05-29,601070,19-LE-VILL,PLAKA GROUP,4245.0,0.0,,
526,ACH,2020-05-27,601020,19-LE-VILL,AMS,1644.0,0.0,,
527,ACH,2020-05-27,601000,19-LE-VILL,AMS,497.96,0.0,,
529,ACH,2020-05-27,601000,19-LE-VILL,PUM PLASTIQUE,129.48,0.0,,
551,ACH,2020-05-19,601000,19-LE-VILL,PUM PLASTIQUE,95.44,0.0,,
555,ACH,2020-05-18,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
557,ACH,2020-05-18,601060,19-LE-VILL,B2M,4585.0,0.0,,
558,ACH,2020-05-18,635800,19-LE-VILL,Autres impôts taxes et verst. assim,70.0,0.0,,
565,ACH,2020-05-15,613105,19-LE-VILL,COLTRIVAL,290.0,0.0,,
580,ACH,2020-05-14,608800,19-LE-VILL,BRICOMAN,304.71,0.0,,
581,ACH,2020-05-13,608800,19-LE-VILL,BRICOMAN,499.17,0.0,,
587,ACH,2020-05-09,606102,19-LE-VILL,EDF,306.95,0.0,,
603,ACH,2020-05-03,601000,19-LE-VILL,POINT P,1821.85,0.0,,
605,ACH,2020-05-03,601000,19-LE-VILL,POINT P,136.4,0.0,,
622,ACH,2020-04-30,613105,19-LE-VILL,COLTRIVAL,300.0,0.0,,
633,ACH,2020-04-30,601030,19-LE-VILL,SYNEOS / IDF,12420.5,0.0,,
638,ACH,2020-04-30,613109,19-LE-VILL,NORD COFFRAGE ILE DE FRANCE,267.71,0.0,,
646,ACH,2020-04-30,606108,19-LE-VILL,BSI,817.0,0.0,,
650,ACH,2020-04-30,601000,19-LE-VILL,BARILLET-FALGUIER,761.05,0.0,,
651,ACH,2020-04-30,601010,19-LE-VILL,BARILLET-FALGUIER,1755.0,0.0,,
652,ACH,2020-04-30,611420,19-LE-VILL,IBAT,4500.0,0.0,,
653,ACH,2020-04-30,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
654,ACH,2020-04-30,613104,19-LE-VILL,MATEBAT,0.0,1005.0,,
660,ACH,2020-04-30,621500,19-LE-VILL,CONECT INTERIM,6919.01,0.0,,
668,ACH,2020-04-30,635800,19-LE-VILL,Autres impôts taxes et verst. assim,1806.65,0.0,,
669,ACH,2020-04-30,635800,19-LE-VILL,Autres impôts taxes et verst. assim,129.9,0.0,,
670,ACH,2020-04-30,613511,19-LE-VILL,STI,250.0,0.0,,
681,VEN,2020-04-30,706020,19-LE-VILL,SCCV DE L EPOQUE,0.0,77777.09,,
682,VEN,2020-04-30,604923,19-LE-VILL,SCCV DE L EPOQUE,17969.84,0.0,,
689,ACH,2020-04-28,601020,19-LE-VILL,AMS,5228.15,0.0,,
691,ACH,2020-04-28,601020,19-LE-VILL,NORMAFER,6672.09,0.0,,
694,ACH,2020-04-28,601000,19-LE-VILL,QUINCAILLERIE DUBOS,325.33,0.0,,
701,ACH,2020-04-25,601000,19-LE-VILL,TECHNIQUE BETON,317.2,0.0,,
703,ACH,2020-04-24,601060,19-LE-VILL,B2M,3164.0,0.0,,
705,ACH,2020-04-23,601020,19-LE-VILL,AMS,722.9,0.0,,
706,ACH,2020-04-23,601040,19-LE-VILL,AMS,1084.0,0.0,,
713,ACH,2020-04-17,601040,19-LE-VILL,QUINCAILLERIE DUBOS,42.25,0.0,,
722,ACH,2020-04-16,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
727,ACH,2020-04-15,613105,19-LE-VILL,COLTRIVAL,290.0,0.0,,
729,ACH,2020-04-15,601000,19-LE-VILL,LOXAM,131.52,0.0,,
732,ACH,2020-04-15,613113,19-LE-VILL,LPP,1100.0,0.0,,
735,ACH,2020-04-09,606102,19-LE-VILL,EDF,436.09,0.0,,
758,ACH,2020-03-31,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
760,ACH,2020-03-31,601030,19-LE-VILL,SYNEOS / IDF,17653.75,0.0,,
769,ACH,2020-03-31,613511,19-LE-VILL,STI,250.0,0.0,,
787,ACH,2020-03-31,613110,19-LE-VILL,VAC LOC DE BASE VIE,1018.6,0.0,,
789,ACH,2020-03-31,621500,19-LE-VILL,CONNECT INTERIM,4361.38,0.0,,
818,VEN,2020-03-31,706020,19-LE-VILL,SCCV DE L EPOQUE,0.0,117321.76,,
819,VEN,2020-03-31,604923,19-LE-VILL,SCCV DE L EPOQUE,17856.98,0.0,,
833,ACH,2020-03-26,606103,19-LE-VILL,VEOLIA,73.26,0.0,,
840,ACH,2020-03-23,601960,19-LE-VILL,IPN,2263.24,0.0,,
841,ACH,2020-03-23,601960,19-LE-VILL,IPN,5601.06,0.0,,
842,ACH,2020-03-23,601960,19-LE-VILL,IPN,3519.39,0.0,,
843,ACH,2020-03-23,601960,19-LE-VILL,IPN,4669.84,0.0,,
844,ACH,2020-03-23,601960,19-LE-VILL,IPN,4803.96,0.0,,
845,ACH,2020-03-23,601960,19-LE-VILL,IPN,7217.87,0.0,,
846,ACH,2020-03-23,601960,19-LE-VILL,IPN,1146.0,0.0,,
847,ACH,2020-03-23,601960,19-LE-VILL,IPN,1692.93,0.0,,
848,ACH,2020-03-23,601960,19-LE-VILL,IPN,4453.85,0.0,,
864,ACH,2020-03-16,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
876,ACH,2020-03-15,613101,19-LE-VILL,LOXAM,2079.45,0.0,,
891,ACH,2020-03-13,601040,19-LE-VILL,QUINCAILLERIE DUBOS,68.26,0.0,,
892,ACH,2020-03-12,601020,19-LE-VILL,NORMAFER,3458.74,0.0,,
893,ACH,2020-03-12,601040,19-LE-VILL,QUINCAILLERIE DUBOS,53.68,0.0,,
894,ACH,2020-03-12,601960,19-LE-VILL,IPN,26933.46,0.0,,
903,ACH,2020-03-10,606102,19-LE-VILL,EDF,597.27,0.0,,
904,ACH,2020-03-10,601020,19-LE-VILL,AMS,2236.2,0.0,,
905,ACH,2020-03-10,601000,19-LE-VILL,AMS,756.24,0.0,,
925,ACH,2020-03-03,604922,19-LE-VILL,BATI DAL - SOUS TRAITANT,1650.0,0.0,,
957,ACH,2020-02-29,611423,19-LE-VILL,CLJT CONSEILS,1500.0,0.0,,
979,ACH,2020-02-29,613105,19-LE-VILL,COLTRIVAL,781.6,0.0,,
980,ACH,2020-02-29,613105,19-LE-VILL,COLTRIVAL,4230.0,0.0,,
986,ACH,2020-02-29,601030,19-LE-VILL,SYNEOS / IDF,19232.75,0.0,,
989,ACH,2020-02-29,613511,19-LE-VILL,STI,500.0,0.0,,
995,ACH,2020-02-29,621500,19-LE-VILL,DEFI TECHNOLOGY,2889.0,0.0,,
996,ACH,2020-02-29,621500,19-LE-VILL,CONNECT INTZRIM,2627.0,0.0,,
1006,ACH,2020-02-29,601040,19-LE-VILL,PROLIANS,136.12,0.0,,
1022,ACH,2020-02-29,613110,19-LE-VILL,VAC LOC DE BASE VIE,1012.8,0.0,,
1023,ACH,2020-02-29,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
1028,ACH,2020-02-29,601000,19-LE-VILL,BARILLET-FALGUIER,1349.56,0.0,,
1046,VEN,2020-02-28,706020,19-LE-VILL,SCCV DE L EPOQUE,0.0,48186.93,,
1047,VEN,2020-02-28,604923,19-LE-VILL,FIRAT BAT,11882.13,0.0,,
1060,ACH,2020-02-24,613511,19-LE-VILL,STI,350.0,0.0,,
1062,ACH,2020-02-24,611425,19-LE-VILL,HELP SERVICE,580.0,0.0,,
1077,ACH,2020-02-20,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
1084,ACH,2020-02-17,601000,19-LE-VILL,LANCERY SAFIRE,1307.85,0.0,,
1086,ACH,2020-02-15,601000,19-LE-VILL,STARMAT,596.44,0.0,,
1088,ACH,2020-02-15,601040,19-LE-VILL,PROLIANS,400.36,0.0,,
1094,ACH,2020-02-15,601000,19-LE-VILL,FRANSBONHOMME,333.49,0.0,,
1098,ACH,2020-02-14,601020,19-LE-VILL,NORMAFER,11964.7,0.0,,
1104,ACH,2020-02-11,601020,19-LE-VILL,NORMAFER,5592.74,0.0,,
1108,ACH,2020-02-09,606102,19-LE-VILL,EDF,334.42,0.0,,
1115,ACH,2020-02-07,601000,19-LE-VILL,LANCERY SAFIRE,3763.81,0.0,,
1117,ACH,2020-02-07,601000,19-LE-VILL,LANCERY SAFIRE,187.33,0.0,,
1124,ACH,2020-02-05,601000,19-LE-VILL,AMS,411.4,0.0,,
1125,ACH,2020-02-05,601040,19-LE-VILL,AMS,285.6,0.0,,
1126,ACH,2020-02-05,601020,19-LE-VILL,AMS,2302.15,0.0,,
1134,ACH,2020-02-01,613109,19-LE-VILL,CORHOFI,3458.27,0.0,,
1158,ACH,2020-01-31,613511,19-LE-VILL,STI,500.0,0.0,,
1162,ACH,2020-01-31,621500,19-LE-VILL,DEFI TECHNOLOGY,1980.0,0.0,,
1166,ACH,2020-01-31,613104,19-LE-VILL,MATEBAT,3440.0,0.0,,
1171,ACH,2020-01-31,613110,19-LE-VILL,VAC LOC DE BASE VIE,1101.6,0.0,,
1187,ACH,2020-01-31,601030,19-LE-VILL,SYNEOS / IDF,8637.5,0.0,,
1191,ACH,2020-01-31,613101,19-LE-VILL,LOXAM,770.56,0.0,,
1273,VEN,2020-01-31,706020,19-LE-VILL,SCCV DE L EPOQUE 20%,0.0,61138.32,,
1283,ACH,2020-01-29,611423,19-LE-VILL,CLJT CONSEILS,1500.0,0.0,,
1285,ACH,2020-01-28,601020,19-LE-VILL,NORMAFER,2627.7,0.0,,
1286,ACH,2020-01-28,601020,19-LE-VILL,NORMAFER,10071.62,0.0,,
1302,ACH,2020-01-24,613511,19-LE-VILL,STI,730.0,0.0,,
1362,ACH,2020-01-09,606102,19-LE-VILL,EDF,233.19,0.0,,
