,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
74,ACH,2020-07-23,601000,19-LT-NLG0,AMS,93.0,0.0,,
95,ACH,2020-07-17,611424,19-LT-NLG0,SOLENGER,3440.0,0.0,,
196,ACH,2020-06-30,601030,19-LT-NLG0,SYNEOS / IDF,1627.75,0.0,,
222,ACH,2020-06-30,613511,19-LT-NLG0,STI,260.0,0.0,,
228,ACH,2020-06-30,613511,19-LT-NLG0,STI,470.0,0.0,,
229,ACH,2020-06-30,613511,19-LT-NLG0,STI,200.0,0.0,,
239,ACH,2020-06-30,601030,19-LT-NLG0,BATI DAL - SOUS TRAITANT,1300.0,0.0,,
259,ACH,2020-06-30,604923,19-LT-NLG0,EGBP - SS TRAITANT,10720.0,0.0,,
274,ACH,2020-06-30,606152,19-LT-NLG0,COLTRIVAL,940.0,0.0,,
281,ACH,2020-06-30,604923,19-LT-NLG0,CBF - SOUS TRAITANT,3600.0,0.0,,
291,VEN,2020-06-30,706020,19-LT-NLG0,SCCV LA TOURELLE BROSSOLETTE,0.0,40080.05,,
305,ACH,2020-06-26,606152,19-LT-NLG0,VEOLIA,466.3,0.0,,
311,ACH,2020-06-25,604924,19-LT-NLG0,GOTP - SOUS TRAITANT,5121.53,0.0,,
333,ACH,2020-06-19,601000,19-LT-NLG0,ALGECO,63.12,0.0,,
339,ACH,2020-06-17,606152,19-LT-NLG0,SOIB,1386.96,0.0,,
345,ACH,2020-06-16,611428,19-LT-NLG0,TECHDIAM,2100.0,0.0,,
350,ACH,2020-06-15,606152,19-LT-NLG0,COLTRIVAL,870.0,0.0,,
357,ACH,2020-06-15,601000,19-LT-NLG0,STARMAT,0.0,38.0,,
358,ACH,2020-06-15,601000,19-LT-NLG0,STARMAT,1062.52,0.0,,
359,ACH,2020-06-15,601000,19-LT-NLG0,STARMAT,1331.88,0.0,,
363,ACH,2020-06-15,606152,19-LT-NLG0,COLTRIVAL,870.0,0.0,,
370,ACH,2020-06-12,613110,19-LT-NLG0,ALGECO,0.0,337.73,,
371,ACH,2020-06-12,613110,19-LT-NLG0,ALGECO,0.0,27.76,,
372,ACH,2020-06-12,613110,19-LT-NLG0,ALGECO,0.0,29.07,,
392,ACH,2020-06-04,613101,19-LT-NLG0,BATI DAL - SOUS TRAITANT,1300.0,0.0,,
412,ACH,2020-05-31,613511,19-LT-NLG0,STI,470.0,0.0,,
413,ACH,2020-05-31,613511,19-LT-NLG0,STI,200.0,0.0,,
416,ACH,2020-05-31,613511,19-LT-NLG0,STI,260.0,0.0,,
431,ACH,2020-05-31,613113,19-LT-NLG0,MATELOC,2255.4,0.0,,
433,ACH,2020-05-31,608800,19-LT-NLG0,ALGECO,4215.0,0.0,,
434,ACH,2020-05-31,613110,19-LT-NLG0,ALGECO,295.0,0.0,,
435,ACH,2020-05-31,608800,19-LT-NLG0,ALGECO,250.0,0.0,,
436,ACH,2020-05-31,613110,19-LT-NLG0,ALGECO,0.0,3024.57,,
437,ACH,2020-05-31,613110,19-LT-NLG0,ALGECO,0.0,248.06,,
438,ACH,2020-05-31,613110,19-LT-NLG0,ALGECO,0.0,296.07,,
445,ACH,2020-05-31,613104,19-LT-NLG0,LOGA GRUE,0.0,109.87,,
446,ACH,2020-05-31,613104,19-LT-NLG0,LOGA GRUE,0.0,906.4,,
449,ACH,2020-05-31,608900,19-LT-NLG0,LOGA GRUE,8900.0,0.0,,
471,ACH,2020-05-31,601030,19-LT-NLG0,SYNEOS / IDF,3674.5,0.0,,
476,ACH,2020-05-31,604923,19-LT-NLG0,CBF - SOUS TRAITANT,5331.0,0.0,,
479,ACH,2020-05-31,606152,19-LT-NLG0,PROLIANS,112.44,0.0,,
486,VEN,2020-05-31,706020,19-LT-NLG0,SCCV LA TOURELLE BROSSOLETTE,44958.81,0.0,,
488,VEN,2020-05-31,706020,19-LT-NLG0,SCCV LA TOURELLE BROSSOLETTE,0.0,8450.0,,
489,VEN,2020-05-31,706020,19-LT-NLG0,SCCV LA TOURELLE BROSSOLETTE,0.0,36898.68,,
499,ACH,2020-05-30,613105,19-LT-NLG0,COLTRIVAL,1160.0,0.0,,
504,ACH,2020-05-30,604923,19-LT-NLG0,EGBP - SS TRAITANT,6829.35,0.0,,
512,ACH,2020-05-30,604923,19-LT-NLG0,EGBP - SS TRAITANT,12670.0,0.0,,
519,ACH,2020-05-29,601000,19-LT-NLG0,STARMAT,1331.78,0.0,,
547,ACH,2020-05-19,613110,19-LT-NLG0,ALGECO,2221.55,0.0,,
564,ACH,2020-05-15,613105,19-LT-NLG0,COLTRIVAL,1740.0,0.0,,
567,ACH,2020-05-15,613110,19-LT-NLG0,ALGECO,185.04,0.0,,
568,ACH,2020-05-15,613110,19-LT-NLG0,ALGECO,193.79,0.0,,
571,ACH,2020-05-15,601000,19-LT-NLG0,LANCERY SAFIRE,1200.14,0.0,,
572,ACH,2020-05-15,601000,19-LT-NLG0,STARMAT,731.81,0.0,,
573,ACH,2020-05-15,601000,19-LT-NLG0,STARMAT,690.34,0.0,,
583,ACH,2020-05-12,611425,19-LT-NLG0,HELP SERVICE,350.0,0.0,,
591,ACH,2020-05-08,606152,19-LT-NLG0,PROLIANS,453.16,0.0,,
597,ACH,2020-05-05,601040,19-LT-NLG0,QUINCAILLERIE DUBOS,141.88,0.0,,
599,ACH,2020-05-05,604924,19-LT-NLG0,GOTP - SOUS TRAITANT,12236.0,0.0,,
607,ACH,2020-05-03,601000,19-LT-NLG0,POINT P,672.96,0.0,,
609,ACH,2020-05-03,601000,19-LT-NLG0,POINT P,342.76,0.0,,
614,ACH,2020-05-01,635800,19-LT-NLG0,SCI 3F,1500.0,0.0,,
618,ACH,2020-04-30,613101,19-LT-NLG0,LOXAM,48.0,0.0,,
620,ACH,2020-04-30,611427,19-LT-NLG0,EMAEE PROPRETE,79.5,0.0,,
624,ACH,2020-04-30,613105,19-LT-NLG0,COLTRIVAL,1450.0,0.0,,
629,ACH,2020-04-30,611427,19-LT-NLG0,MANAIA NETTOYAGE,1007.0,0.0,,
634,ACH,2020-04-30,601030,19-LT-NLG0,SYNEOS / IDF,3507.5,0.0,,
636,ACH,2020-04-30,613511,19-LT-NLG0,STI,2625.0,0.0,,
639,ACH,2020-04-30,613104,19-LT-NLG0,LOGA GRUE,412.0,0.0,,
640,ACH,2020-04-30,613104,19-LT-NLG0,LOGA GRUE,3399.0,0.0,,
645,ACH,2020-04-30,601000,19-LT-NLG0,STARMAT,990.92,0.0,,
656,ACH,2020-04-30,613109,19-LT-NLG0,MATELOC,2197.18,0.0,,
659,ACH,2020-04-30,604923,19-LT-NLG0,CBF - SOUS TRAITANT,2285.0,0.0,,
666,ACH,2020-04-30,601000,19-LT-NLG0,PROLIANS,49.98,0.0,,
673,ACH,2020-04-30,613511,19-LT-NLG0,STI,100.0,0.0,,
674,ACH,2020-04-30,613511,19-LT-NLG0,STI,235.0,0.0,,
679,VEN,2020-04-30,706020,19-LT-NLG0,SCCV LA TOURELLE BROSSOLETTE,0.0,25373.66,,
700,ACH,2020-04-25,601000,19-LT-NLG0,TECHNIQUE BETON,1632.07,0.0,,
717,ACH,2020-04-17,613110,19-LT-NLG0,ALGECO,200.24,0.0,,
718,ACH,2020-04-17,613110,19-LT-NLG0,ALGECO,2295.6,0.0,,
719,ACH,2020-04-17,613110,19-LT-NLG0,ALGECO,191.21,0.0,,
723,ACH,2020-04-16,601000,19-LT-NLG0,STARMAT,0.0,95.0,,
726,ACH,2020-04-16,601000,19-LT-NLG0,STARMAT,1117.29,0.0,,
730,ACH,2020-04-15,613105,19-LT-NLG0,COLTRIVAL,870.0,0.0,,
734,ACH,2020-04-10,601000,19-LT-NLG0,AMS,1125.5,0.0,,
748,OD,2020-04-02,604923,19-LT-NLG0,SOUS TRAITANT MAIN D OEUVRE,6345.0,0.0,,
753,ACH,2020-04-01,635800,19-LT-NLG0,SCI 3F,1500.0,0.0,,
759,ACH,2020-03-31,613113,19-LT-NLG0,MATELOC,6643.75,0.0,,
762,ACH,2020-03-31,601030,19-LT-NLG0,SYNEOS / IDF,2930.5,0.0,,
764,ACH,2020-03-31,611427,19-LT-NLG0,EMAEE PROPRETE,318.0,0.0,,
774,ACH,2020-03-31,613511,19-LT-NLG0,STI,295.0,0.0,,
775,ACH,2020-03-31,613511,19-LT-NLG0,STI,100.0,0.0,,
777,ACH,2020-03-31,608301,19-LT-NLG0,HELP SERVICE,650.0,0.0,,
782,ACH,2020-03-31,613104,19-LT-NLG0,LOGA GRUE,3399.0,0.0,,
783,ACH,2020-03-31,613104,19-LT-NLG0,LOGA GRUE,412.0,0.0,,
796,ACH,2020-03-31,613101,19-LT-NLG0,LOXAM,251.4,0.0,,
798,ACH,2020-03-31,621100,19-LT-NLG0,DEFI TECHNOLOGY,318.0,0.0,,
806,ACH,2020-03-31,621100,19-LT-NLG0,DEFI TECHNOLOGY,1060.02,0.0,,
812,ACH,2020-03-31,613109,19-LT-NLG0,NORD COFFRAGE ILE DE FRANCE,2616.64,0.0,,
813,ACH,2020-03-31,608301,19-LT-NLG0,NORD COFFRAGE ILE DE FRANCE,1560.0,0.0,,
814,ACH,2020-03-31,613109,19-LT-NLG0,NORD COFFRAGE ILE DE FRANCE,101.0,0.0,,
