,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
43,ACH,2020-08-01,613109,19-PRO-NLG,CORHOFI,3458.27,0.0,,
45,ACH,2020-07-31,601020,19-PRO-NLG,NORMAFER,3388.83,0.0,,
51,ACH,2020-07-30,604922,19-PRO-NLG,BATI DAL - SOUS TRAITANT,600.0,0.0,,
59,ACH,2020-07-28,601020,19-PRO-NLG,NORMAFER,2454.52,0.0,,
63,ACH,2020-07-27,601000,19-PRO-NLG,AMS,235.2,0.0,,
79,ACH,2020-07-23,613511,19-PRO-NLG,STI,1150.0,0.0,,
80,ACH,2020-07-22,601020,19-PRO-NLG,NORMAFER,2167.9,0.0,,
94,ACH,2020-07-17,601000,19-PRO-NLG,AMS,615.6,0.0,,
101,ACH,2020-07-17,601000,19-PRO-NLG,LANCERY,674.3,0.0,,
108,ACH,2020-07-16,601020,19-PRO-NLG,NORMAFER,6460.96,0.0,,
121,ACH,2020-07-13,613110,19-PRO-NLG,CABINET PORTLAND,1500.0,0.0,,
123,ACH,2020-07-11,611438,19-PRO-NLG,IBERMAT,1742.7,0.0,,
132,ACH,2020-07-09,601020,19-PRO-NLG,NORMAFER,12972.35,0.0,,
137,ACH,2020-07-08,611424,19-PRO-NLG,GEOA,1100.0,0.0,,
138,ACH,2020-07-08,611424,19-PRO-NLG,GEOA,700.0,0.0,,
139,ACH,2020-07-08,611424,19-PRO-NLG,GEOA,500.0,0.0,,
145,ACH,2020-07-07,601000,19-PRO-NLG,AMS,77.69,0.0,,
159,ACH,2020-07-02,601040,19-PRO-NLG,AMS,355.0,0.0,,
160,ACH,2020-07-02,601000,19-PRO-NLG,AMS,850.29,0.0,,
183,ACH,2020-07-01,622700,19-PRO-NLG,CABINET GWA - MAITRE MAXIME CAZALET,264.89,0.0,,
195,ACH,2020-06-30,601030,19-PRO-NLG,SYNEOS / IDF,5085.0,0.0,,
209,ACH,2020-06-30,601010,19-PRO-NLG,BARILLET-FALGUIER,2032.35,0.0,,
213,ACH,2020-06-30,601000,19-PRO-NLG,LANCERY SAFIRE,3335.33,0.0,,
216,ACH,2020-06-30,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
231,ACH,2020-06-30,613511,19-PRO-NLG,STI,830.0,0.0,,
266,ACH,2020-06-30,613101,19-PRO-NLG,LOXAM,1173.95,0.0,,
267,ACH,2020-06-30,613101,19-PRO-NLG,LOXAM,199.13,0.0,,
280,ACH,2020-06-30,604923,19-PRO-NLG,CBF - SOUS TRAITANT,3928.0,0.0,,
289,VEN,2020-06-30,706020,19-PRO-NLG,SCCV PROVIDENCE,0.0,51667.18,,
320,ACH,2020-06-22,601000,19-PRO-NLG,PUM PLASTIQUE,623.59,0.0,,
328,ACH,2020-06-19,601020,19-PRO-NLG,NORMAFER,12146.02,0.0,,
361,ACH,2020-06-15,601000,19-PRO-NLG,PROLIANS,61.92,0.0,,
414,ACH,2020-05-31,613511,19-PRO-NLG,STI,830.0,0.0,,
448,ACH,2020-05-31,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
487,VEN,2020-05-31,706020,19-PRO-NLG,SCCV PROVIDENCE,0.0,34885.95,,
548,ACH,2020-05-19,601000,19-PRO-NLG,QUINCAILLERIE DUBOS,25.5,0.0,,
590,ACH,2020-05-08,601000,19-PRO-NLG,PROLIANS,949.1,0.0,,
625,ACH,2020-04-30,608800,19-PRO-NLG,POINT P,705.06,0.0,,
626,ACH,2020-04-30,608800,19-PRO-NLG,POINT P,813.78,0.0,,
642,ACH,2020-04-30,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
677,ACH,2020-04-30,613511,19-PRO-NLG,STI,415.0,0.0,,
683,VEN,2020-04-30,706020,19-PRO-NLG,SCCV PROVIDENCE,0.0,13626.59,,
696,ACH,2020-04-28,611438,19-PRO-NLG,TCP,1970.0,0.0,,
702,ACH,2020-04-24,608800,19-PRO-NLG,VID,5000.0,0.0,,
712,ACH,2020-04-18,611438,19-PRO-NLG,IBERMAT,802.8,0.0,,
725,ACH,2020-04-16,611438,19-PRO-NLG,ON OFF ELLEC,601.0,0.0,,
767,ACH,2020-03-31,613511,19-PRO-NLG,STI,415.0,0.0,,
780,ACH,2020-03-31,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
961,ACH,2020-02-29,613110,19-PRO-NLG,CABINET PORTLAND,1500.0,0.0,,
964,ACH,2020-02-29,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
1048,VEN,2020-02-28,706020,19-PRO-NLG,SCCV PROVIDENCE,0.0,5197.5,,
1061,ACH,2020-02-24,613511,19-PRO-NLG,STI,750.0,0.0,,
1075,ACH,2020-02-20,613511,19-PRO-NLG,STI,8820.0,0.0,,
1174,ACH,2020-01-31,613104,19-PRO-NLG,LOGA GRUE,4429.0,0.0,,
1230,ACH,2020-01-31,613110,19-PRO-NLG,CABINET PORTLAND,1500.0,0.0,,
1269,VEN,2020-01-31,706020,19-PRO-NLG,SCCV PROVIDENCE 20%,2773.01,0.0,,
1323,ACH,2020-01-17,611425,19-PRO-NLG,HELP SERVICE,350.0,0.0,,
1392,ANO,2020-01-01,215400,19-PRO-NLG,Report à nouveau,2800.0,0.0,,
1398,ANO,2020-01-01,215500,19-PRO-NLG,Report à nouveau,189.18,0.0,,
