,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
97,ACH,2020-07-17,606102,19-ROCH-LP,EDF,216.28,0.0,,
111,ACH,2020-07-15,215500,19-ROCH-LP,PROLIANS,861.08,0.0,,
194,ACH,2020-06-30,601030,19-ROCH-LP,SYNEOS / IDF,310.0,0.0,,
214,ACH,2020-06-30,613113,19-ROCH-LP,ALTRAD,0.0,387.37,,
221,ACH,2020-06-30,613511,19-ROCH-LP,STI,200.0,0.0,,
230,ACH,2020-06-30,613511,19-ROCH-LP,STI,360.0,0.0,,
246,ACH,2020-06-30,613114,19-ROCH-LP,ALTRAD,76.18,0.0,,
247,ACH,2020-06-30,608301,19-ROCH-LP,ALTRAD,300.0,0.0,,
248,ACH,2020-06-30,613111,19-ROCH-LP,ALTRAD,54.5,0.0,,
249,ACH,2020-06-30,613113,19-ROCH-LP,ALTRAD,152.95,0.0,,
275,ACH,2020-06-30,606152,19-ROCH-LP,COLTRIVAL,290.0,0.0,,
286,VEN,2020-06-30,706020,19-ROCH-LP,SCCV ROCHEREAU LE PERREUX SUR MARNE,0.0,1483.5,,
294,VEN,2020-06-30,706020,19-ROCH-LP,SCCV ROCHEREAU LE PERREUX SUR MARNE,0.0,7234.12,,
341,ACH,2020-06-16,606152,19-ROCH-LP,EDF,234.78,0.0,,
351,ACH,2020-06-15,606152,19-ROCH-LP,COLTRIVAL,580.0,0.0,,
366,VEN,2020-06-15,706020,19-ROCH-LP,SCCV ROCHEREAU LE PERREUX SUR MARNE,0.0,36480.49,,
369,ACH,2020-06-12,608800,19-ROCH-LP,ALGECO,460.0,0.0,,
386,ACH,2020-06-08,215500,19-ROCH-LP,BRICODEPOT,200.0,0.0,,
407,ACH,2020-05-31,613511,19-ROCH-LP,STI,200.0,0.0,,
415,ACH,2020-05-31,613511,19-ROCH-LP,STI,360.0,0.0,,
432,ACH,2020-05-31,608800,19-ROCH-LP,ALGECO,870.98,0.0,,
