,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
87,ACH,2020-07-20,601000,19-TK-VIL0,AMS,412.0,0.0,,
131,ACH,2020-07-10,606102,19-TK-VIL0,EDF,358.75,0.0,,
201,ACH,2020-06-30,613105,19-TK-VIL0,ECOBTP,870.0,0.0,,
223,ACH,2020-06-30,613511,19-TK-VIL0,STI,250.0,0.0,,
224,ACH,2020-06-30,613511,19-TK-VIL0,STI,250.0,0.0,,
225,ACH,2020-06-30,613511,19-TK-VIL0,STI,225.0,0.0,,
269,ACH,2020-06-30,613101,19-TK-VIL0,LOXAM,664.15,0.0,,
293,VEN,2020-06-30,706020,19-TK-VIL0,LES TERRASSES DE KASSANDRA  VILLABE,0.0,12350.84,,
299,ACH,2020-06-29,606152,19-TK-VIL0,KILOTOU,330.0,0.0,,
332,ACH,2020-06-19,613110,19-TK-VIL0,ALGECO,201.88,0.0,,
378,ACH,2020-06-09,606152,19-TK-VIL0,EDF,392.91,0.0,,
410,ACH,2020-05-31,613511,19-TK-VIL0,STI,225.0,0.0,,
411,ACH,2020-05-31,613511,19-TK-VIL0,STI,250.0,0.0,,
417,ACH,2020-05-31,613105,19-TK-VIL0,ECOBTP,290.0,0.0,,
420,ACH,2020-05-31,601040,19-TK-VIL0,LOXAM,164.0,0.0,,
422,ACH,2020-05-31,613101,19-TK-VIL0,LOXAM,383.92,0.0,,
524,ACH,2020-05-28,606152,19-TK-VIL0,KILOTOU,330.0,0.0,,
536,ACH,2020-05-25,606152,19-TK-VIL0,KILOTOU,330.0,0.0,,
537,ACH,2020-05-25,604924,19-TK-VIL0,GOTP - SOUS TRAITANT,4770.0,0.0,,
541,ACH,2020-05-22,606152,19-TK-VIL0,KILOTOU,200.0,0.0,,
569,ACH,2020-05-15,613110,19-TK-VIL0,ALGECO,195.37,0.0,,
589,ACH,2020-05-09,606102,19-TK-VIL0,EDF,408.59,0.0,,
675,ACH,2020-04-30,613511,19-TK-VIL0,STI,125.0,0.0,,
676,ACH,2020-04-30,613511,19-TK-VIL0,STI,112.5,0.0,,
709,ACH,2020-04-22,606103,19-TK-VIL0,LA REGIE DE L EAU,291.69,0.0,,
716,ACH,2020-04-17,613110,19-TK-VIL0,ALGECO,201.88,0.0,,
736,ACH,2020-04-09,606102,19-TK-VIL0,EDF,917.66,0.0,,
771,ACH,2020-03-31,613511,19-TK-VIL0,STI,112.5,0.0,,
773,ACH,2020-03-31,613511,19-TK-VIL0,STI,125.0,0.0,,
791,ACH,2020-03-31,613105,19-TK-VIL0,ECOBTP,290.0,0.0,,
