,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
304,ACH,2020-06-26,606152,19-VAQ-NLG,VEOLIA,5.9,0.0,,
314,ACH,2020-06-23,606152,19-VAQ-NLG,PGM,1250.0,0.0,,
316,ACH,2020-06-23,606152,19-VAQ-NLG,PGM,1250.0,0.0,,
325,ACH,2020-06-20,606152,19-VAQ-NLG,EDF,0.0,102.46,,
343,ACH,2020-06-16,606152,19-VAQ-NLG,EDF,236.46,0.0,,
490,VEN,2020-05-31,706020,19-VAQ-NLG,SCCV 58 JEAN VAQUIER,0.0,236.95,,
535,ACH,2020-05-25,611430,19-VAQ-NLG,REFLEX ISOLATION,4906.0,0.0,,
588,ACH,2020-05-09,606102,19-VAQ-NLG,EDF,195.41,0.0,,
623,ACH,2020-04-30,613105,19-VAQ-NLG,COLTRIVAL,230.0,0.0,,
680,VEN,2020-04-30,706020,19-VAQ-NLG,SCCV 58 JEAN VAQUIER,0.0,4418.37,,
737,ACH,2020-04-09,606102,19-VAQ-NLG,EDF,233.67,0.0,,
763,ACH,2020-03-31,613105,19-VAQ-NLG,COLTRIVAL,460.0,0.0,,
835,ACH,2020-03-26,606152,19-VAQ-NLG,VEOLIA,5.87,0.0,,
882,VEN,2020-03-15,706020,19-VAQ-NLG,SCCV 58 JEAN VAQUIER,0.0,26175.46,,
885,ACH,2020-03-14,606152,19-VAQ-NLG,COLTRIVAL,1134.3,0.0,,
902,ACH,2020-03-10,606102,19-VAQ-NLG,EDF,1285.64,0.0,,
919,ACH,2020-03-05,606152,19-VAQ-NLG,VARELA,2200.0,0.0,,
968,ACH,2020-02-29,601000,19-VAQ-NLG,POINT P,164.6,0.0,,
970,ACH,2020-02-29,601000,19-VAQ-NLG,POINT P,73.78,0.0,,
971,ACH,2020-02-29,601000,19-VAQ-NLG,POINT P,85.38,0.0,,
973,ACH,2020-02-29,601000,19-VAQ-NLG,POINT P,53.25,0.0,,
982,ACH,2020-02-29,613105,19-VAQ-NLG,COLTRIVAL,1450.0,0.0,,
1031,VEN,2020-02-29,706020,19-VAQ-NLG,SCCV 58 JEAN VAQUIER,0.0,9398.59,,
1034,ACH,2020-02-28,613511,19-VAQ-NLG,STI,214.13,0.0,,
1035,ACH,2020-02-28,613511,19-VAQ-NLG,STI,102.41,0.0,,
1093,ACH,2020-02-15,613105,19-VAQ-NLG,COLTRIVAL,580.0,0.0,,
1101,ACH,2020-02-13,606152,19-VAQ-NLG,SCORS,134.52,0.0,,
1107,ACH,2020-02-09,606102,19-VAQ-NLG,EDF,2570.86,0.0,,
1155,ACH,2020-01-31,613511,19-VAQ-NLG,STI,110.0,0.0,,
1156,ACH,2020-01-31,613511,19-VAQ-NLG,STI,230.0,0.0,,
1201,ACH,2020-01-31,601040,19-VAQ-NLG,QUINCAILLERIE DUBOS,119.71,0.0,,
1214,ACH,2020-01-31,601040,19-VAQ-NLG,POINT P,53.38,0.0,,
1215,ACH,2020-01-31,601000,19-VAQ-NLG,POINT P,149.82,0.0,,
1247,ACH,2020-01-31,601040,19-VAQ-NLG,PROLIANS,45.8,0.0,,
1270,VEN,2020-01-31,706020,19-VAQ-NLG,SCCV 58 JEAN VAQUIER 20%,0.0,7271.45,,
1294,ACH,2020-01-27,611429,19-VAQ-NLG,STT ISOL,6000.0,0.0,,
1330,ACH,2020-01-15,613105,19-VAQ-NLG,COLTRIVAL,580.0,0.0,,
1359,ACH,2020-01-09,613105,19-VAQ-NLG,COLTRIVAL,0.0,35.0,,
1361,ACH,2020-01-09,606102,19-VAQ-NLG,EDF,1952.65,0.0,,
1395,ANO,2020-01-01,215400,19-VAQ-NLG,Report à nouveau,16433.0,0.0,,
1401,ANO,2020-01-01,215500,19-VAQ-NLG,Report à nouveau,2108.54,0.0,,
