,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
112,ACH,2020-07-15,613101,20-ANTONIO,LOXAM,351.08,0.0,,
114,ACH,2020-07-15,613101,20-ANTONIO,LOXAM,1415.22,0.0,,
116,ACH,2020-07-15,613101,20-ANTONIO,LOXAM,300.0,0.0,,
117,ACH,2020-07-15,613101,20-ANTONIO,STARMAT,3372.53,0.0,,
119,ACH,2020-07-15,601000,20-ANTONIO,STARMAT,744.02,0.0,,
232,ACH,2020-06-30,601000,20-ANTONIO,STARMAT,903.12,0.0,,
253,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,1252.47,0.0,,
254,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,504.48,0.0,,
255,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,472.75,0.0,,
256,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,4575.55,0.0,,
257,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,118.27,0.0,,
258,ACH,2020-06-30,613101,20-ANTONIO,LOXAM,990.4,0.0,,
355,ACH,2020-06-15,613101,20-ANTONIO,LOXAM,191.66,0.0,,
356,ACH,2020-06-15,613101,20-ANTONIO,LOXAM,71.87,0.0,,
418,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,181.56,0.0,,
419,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,1322.01,0.0,,
421,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,895.83,0.0,,
424,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,751.29,0.0,,
425,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,522.15,0.0,,
426,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,569.94,0.0,,
428,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,176.51,0.0,,
475,ACH,2020-05-31,613101,20-ANTONIO,LOXAM,445.51,0.0,,
