,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
44,ACH,2020-07-31,601020,20-NOI-NOI,NORMAFER,5309.2,0.0,,
55,ACH,2020-07-29,604922,20-NOI-NOI,BATI DAL - SOUS TRAITANT,868.75,0.0,,
56,ACH,2020-07-29,601020,20-NOI-NOI,NORMAFER,11492.21,0.0,,
75,ACH,2020-07-23,601020,20-NOI-NOI,NORMAFER,14421.41,0.0,,
77,ACH,2020-07-23,613511,20-NOI-NOI,STI,5895.0,0.0,,
81,ACH,2020-07-22,608900,20-NOI-NOI,MATEBAT,16170.0,0.0,,
82,ACH,2020-07-22,613104,20-NOI-NOI,MATEBAT,7982.5,0.0,,
84,ACH,2020-07-21,608990,20-NOI-NOI,STI,720.0,0.0,,
98,ACH,2020-07-17,613513,20-NOI-NOI,ALGECO,201.88,0.0,,
103,ACH,2020-07-17,601000,20-NOI-NOI,LANCERY,992.38,0.0,,
105,ACH,2020-07-17,601000,20-NOI-NOI,LANCERY,447.12,0.0,,
106,ACH,2020-07-17,601000,20-NOI-NOI,LANCERY,789.84,0.0,,
107,ACH,2020-07-17,601000,20-NOI-NOI,LANCERY,3344.93,0.0,,
127,ACH,2020-07-10,608301,20-NOI-NOI,ALGECO,330.0,0.0,,
155,ACH,2020-07-03,611425,20-NOI-NOI,TERRATER,34820.0,0.0,,
161,ACH,2020-07-02,613110,20-NOI-NOI,CMS MODULAIRE,2756.0,0.0,,
168,ACH,2020-07-01,606103,20-NOI-NOI,REGIE DE L'EAU,37.35,0.0,,
169,ACH,2020-07-01,601000,20-NOI-NOI,AMAZON,38.17,0.0,,
170,ACH,2020-07-01,601000,20-NOI-NOI,AMAZON,38.17,0.0,,
171,ACH,2020-07-01,601000,20-NOI-NOI,AMAZON,38.17,0.0,,
172,ACH,2020-07-01,601000,20-NOI-NOI,AMAZON,38.17,0.0,,
203,ACH,2020-06-30,601000,20-NOI-NOI,PROLIANS,47.07,0.0,,
204,ACH,2020-06-30,601000,20-NOI-NOI,PROLIANS,70.15,0.0,,
219,ACH,2020-06-30,611420,20-NOI-NOI,METHODE CONCEPTION REALISATION - MC,3000.0,0.0,,
265,ACH,2020-06-30,611423,20-NOI-NOI,CLJT CONSEILS,3000.0,0.0,,
292,VEN,2020-06-30,706020,20-NOI-NOI,NOISIEL,0.0,35237.44,,
301,ACH,2020-06-29,215500,20-NOI-NOI,ALPHI,12610.0,0.0,,
302,ACH,2020-06-29,635800,20-NOI-NOI,FRAIS DE VOIRIE NOISIEL,12121.2,0.0,,
310,ACH,2020-06-25,611438,20-NOI-NOI,GOTP - SOUS TRAITANT,7236.36,0.0,,
315,ACH,2020-06-23,611428,20-NOI-NOI,QUALICONSULT,950.0,0.0,,
318,ACH,2020-06-22,613511,20-NOI-NOI,STI,753.67,0.0,,
319,ACH,2020-06-22,613511,20-NOI-NOI,STI,350.0,0.0,,
338,ACH,2020-06-17,608800,20-NOI-NOI,SOIB,221.45,0.0,,
400,ACH,2020-06-01,613110,20-NOI-NOI,CMS MODULAIRE,2756.0,0.0,,
406,ACH,2020-05-31,613511,20-NOI-NOI,STI,1190.0,0.0,,
453,ACH,2020-05-31,611427,20-NOI-NOI,MANAIA NETTOYAGE,855.0,0.0,,
506,ACH,2020-05-30,611420,20-NOI-NOI,METHODE CONCEPTION REALISATION - MC,4000.0,0.0,,
511,ACH,2020-05-30,611423,20-NOI-NOI,CLJT CONSEILS,3000.0,0.0,,
515,VEN,2020-05-30,706020,20-NOI-NOI,RG 5%,0.0,22750.43,,
525,ACH,2020-05-27,215500,20-NOI-NOI,NORD COFFRAGE ILE DE FRANCE,1891.0,0.0,,
552,ACH,2020-05-19,606100,20-NOI-NOI,CALDEO,222.34,0.0,,
553,ACH,2020-05-19,606100,20-NOI-NOI,CALDEO,322.34,0.0,,
554,ACH,2020-05-18,601000,20-NOI-NOI,SOIB,2401.5,0.0,,
582,ACH,2020-05-13,608800,20-NOI-NOI,CMS MODULAIRE,0.0,403.2,,
596,ACH,2020-05-07,606103,20-NOI-NOI,REGIE DE L'EAU,31.85,0.0,,
621,ACH,2020-04-30,613511,20-NOI-NOI,STI,1388.0,0.0,,
630,ACH,2020-04-30,611420,20-NOI-NOI,METHODE CONCEPTION REALISATION - MC,3000.0,0.0,,
