,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
0,ACH,2020-01-01,612701,20-STRUCT0,LIXXBAIL,390.0,0.0,,
1,ACH,2020-01-01,616120,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,17.98,0.0,,
2,ACH,2020-01-01,612500,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,349.42,0.0,,
3,ACH,2020-01-01,616120,20-STRUCT0,ALLIANZ,109.71,0.0,,
4,ACH,2020-01-01,616120,20-STRUCT0,ALLIANZ,93.08,0.0,,
5,ACH,2020-01-01,616120,20-STRUCT0,ALLIANZ,129.61,0.0,,
6,ACH,2020-01-01,616000,20-STRUCT0,ALLIANZ,80.4,0.0,,
7,ACH,2020-01-03,612306,20-STRUCT0,DIAC,381.1,0.0,,
8,ACH,2020-01-03,616120,20-STRUCT0,DIAC,36.53,0.0,,
9,ACH,2020-01-05,616120,20-STRUCT0,ALLIANZ,83.17,0.0,,
10,ACH,2020-01-05,616120,20-STRUCT0,ALLIANZ,135.9,0.0,,
11,ACH,2020-01-05,616120,20-STRUCT0,ALLIANZ,75.31,0.0,,
12,ACH,2020-01-05,616120,20-STRUCT0,ALLIANZ,186.26,0.0,,
13,ACH,2020-01-08,616120,20-STRUCT0,CM - CIC BAIL,21.89,0.0,,
14,ACH,2020-01-08,612200,20-STRUCT0,CM - CIC BAIL,474.38,0.0,,
15,ACH,2020-01-15,612305,20-STRUCT0,VIAXEL,229.7,0.0,,
16,ACH,2020-01-15,616120,20-STRUCT0,VIAXEL,21.61,0.0,,
17,ACH,2020-01-25,622700,20-STRUCT0,PASCAL RENARD,400.0,0.0,,
18,ACH,2020-01-25,612301,20-STRUCT0,CREDIPAR,312.45,0.0,,
19,ACH,2020-01-25,616120,20-STRUCT0,CREDIPAR,84.18,0.0,,
20,ACH,2020-01-25,616120,20-STRUCT0,CREDIPAR,93.9,0.0,,
21,ACH,2020-01-25,612303,20-STRUCT0,CREDIPAR,329.97,0.0,,
22,ACH,2020-01-25,612302,20-STRUCT0,CREDIPAR,312.45,0.0,,
23,ACH,2020-01-25,616120,20-STRUCT0,CREDIPAR,84.18,0.0,,
24,ACH,2020-01-27,616120,20-STRUCT0,CM - CIC BAIL,20.05,0.0,,
25,ACH,2020-01-27,645700,20-STRUCT0,APST,224.43,0.0,,
26,ACH,2020-01-30,625600,20-STRUCT0,REPAS,54.08,0.0,,
27,ACH,2020-01-30,625600,20-STRUCT0,REPAS,42.1,0.0,,
28,ACH,2020-01-30,625600,20-STRUCT0,REPAS,263.0,0.0,,
29,ACH,2020-01-30,625600,20-STRUCT0,REPAS,59.2,0.0,,
30,ACH,2020-01-30,625600,20-STRUCT0,REPAS,170.0,0.0,,
31,ACH,2020-01-30,625600,20-STRUCT0,REPAS,288.6,0.0,,
32,ACH,2020-01-30,625600,20-STRUCT0,REPAS,142.0,0.0,,
33,ACH,2020-01-30,625600,20-STRUCT0,REPAS,130.48,0.0,,
34,ACH,2020-01-30,625600,20-STRUCT0,REPAS,305.1,0.0,,
35,BQ1,2020-01-30,661810,20-STRUCT0,FRANCE CTX VPC,129.89,0.0,,
36,ACH,2020-01-31,611433,20-STRUCT0,LC2TECH,300.0,0.0,,
37,ACH,2020-02-01,614000,20-STRUCT0,SCI DES ARTISANS / JUM IMMO,300.0,0.0,,
38,ACH,2020-02-01,625600,20-STRUCT0,NDF MICHELLE,103.44,0.0,,
39,ACH,2020-02-01,626000,20-STRUCT0,NDF MICHELLE,11.64,0.0,,
40,ACH,2020-02-01,625600,20-STRUCT0,NDF COURANT,124.0,0.0,,
41,ACH,2020-02-01,625600,20-STRUCT0,NDF COURANT,68.18,0.0,,
42,ACH,2020-02-01,625600,20-STRUCT0,NDF COURANT,44.6,0.0,,
43,ACH,2020-02-01,616120,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,17.98,0.0,,
44,ACH,2020-02-01,612500,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,349.42,0.0,,
45,ACH,2020-02-01,616120,20-STRUCT0,ALLIANZ,120.35,0.0,,
46,ACH,2020-02-01,616120,20-STRUCT0,ALLIANZ,93.08,0.0,,
47,ACH,2020-02-01,616120,20-STRUCT0,ALLIANZ,123.71,0.0,,
48,ACH,2020-02-01,616000,20-STRUCT0,ALLIANZ,74.5,0.0,,
49,ACH,2020-02-04,625600,20-STRUCT0,TICKET DE CAISSE,195.11,0.0,,
50,ACH,2020-02-05,616120,20-STRUCT0,ALLIANZ,83.17,0.0,,
51,ACH,2020-02-05,616120,20-STRUCT0,ALLIANZ,135.9,0.0,,
52,ACH,2020-02-05,616120,20-STRUCT0,ALLIANZ,86.83,0.0,,
53,ACH,2020-02-05,612306,20-STRUCT0,DIAC,381.1,0.0,,
54,ACH,2020-02-05,616120,20-STRUCT0,DIAC,36.53,0.0,,
55,ACH,2020-02-05,616120,20-STRUCT0,ALLIANZ,274.08,0.0,,
56,ACH,2020-02-05,606400,20-STRUCT0,DIRECT FOURNITURES,270.13,0.0,,
57,ACH,2020-02-06,625600,20-STRUCT0,TICKET CAISSE,312.37,0.0,,
58,ACH,2020-02-08,616120,20-STRUCT0,CM - CIC BAIL,21.89,0.0,,
59,ACH,2020-02-08,612200,20-STRUCT0,CM - CIC BAIL,474.38,0.0,,
60,ACH,2020-02-11,616120,20-STRUCT0,CM - CIC BAIL,10.95,0.0,,
61,ACH,2020-02-11,616120,20-STRUCT0,CM - CIC BAIL,14.67,0.0,,
62,ACH,2020-02-11,612300,20-STRUCT0,CM - CIC BAIL,448.79,0.0,,
63,ACH,2020-02-13,606400,20-STRUCT0,ALPHA B,330.0,0.0,,
64,ACH,2020-02-17,612305,20-STRUCT0,VIAXEL,229.7,0.0,,
65,ACH,2020-02-17,616120,20-STRUCT0,VIAXEL,21.61,0.0,,
66,ACH,2020-02-18,622700,20-STRUCT0,EFFICO,46.02,0.0,,
67,ACH,2020-02-21,625600,20-STRUCT0,SHASHA THAI,199.94,0.0,,
68,ACH,2020-02-25,612301,20-STRUCT0,CREDIPAR,312.45,0.0,,
69,ACH,2020-02-25,616120,20-STRUCT0,CREDIPAR,84.18,0.0,,
70,ACH,2020-02-25,616120,20-STRUCT0,CREDIPAR,93.9,0.0,,
71,ACH,2020-02-25,612303,20-STRUCT0,CREDIPAR,329.97,0.0,,
72,ACH,2020-02-25,612302,20-STRUCT0,CREDIPAR,312.45,0.0,,
73,ACH,2020-02-25,616120,20-STRUCT0,CREDIPAR,84.18,0.0,,
74,ACH,2020-02-27,616120,20-STRUCT0,CM - CIC BAIL,20.05,0.0,,
75,ACH,2020-02-27,612100,20-STRUCT0,CM - CIC BAIL,343.32,0.0,,
76,ACH,2020-02-28,611441,20-STRUCT0,MPC SANDRINE,245.0,0.0,,
77,ACH,2020-02-29,613101,20-STRUCT0,KODEN,537.62,0.0,,
78,ACH,2020-02-29,645700,20-STRUCT0,APST,219.61,0.0,,
79,ACH,2020-02-29,606100,20-STRUCT0,TOTAL,821.44,0.0,,
80,ACH,2020-02-29,622600,20-STRUCT0,ASF GROUPE AO2C,1048.0,0.0,,
81,ACH,2020-02-29,611443,20-STRUCT0,INCUBES,95.0,0.0,,
82,ACH,2020-03-01,614000,20-STRUCT0,SCI DES ARTISANS / JUM IMMO,300.0,0.0,,
83,ACH,2020-03-01,613200,20-STRUCT0,SCI DES ARTISANS / JUM IMMO,1675.66,0.0,,
84,ACH,2020-03-01,635120,20-STRUCT0,SCI DES ARTISANS / JUM IMMO,1261.61,0.0,,
85,ACH,2020-03-01,601000,20-STRUCT0,NDF MICHELLE BERTRAND,37.49,0.0,,
86,ACH,2020-03-01,601000,20-STRUCT0,NDF MARIO CINCA,178.68,0.0,,
87,ACH,2020-03-01,625600,20-STRUCT0,NDF MICHELLE,66.93,0.0,,
88,ACH,2020-03-01,626000,20-STRUCT0,NDF MICHELLE,17.09,0.0,,
89,ACH,2020-03-01,626100,20-STRUCT0,SFR,359.27,0.0,,
90,ACH,2020-03-01,616120,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,17.98,0.0,,
91,ACH,2020-03-01,612500,20-STRUCT0,NATIOCREDIMURS - VU PEUGEOT EXPERT,349.42,0.0,,
92,ACH,2020-03-01,613512,20-STRUCT0,HILTI,2224.03,0.0,,
93,ACH,2020-03-01,613512,20-STRUCT0,HILTI,95.0,0.0,,
94,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,109.71,0.0,,
95,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,93.08,0.0,,
96,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,123.71,0.0,,
97,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,145.78,0.0,,
98,ACH,2020-03-01,616000,20-STRUCT0,ALLIANZ,74.5,0.0,,
99,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,1723.11,0.0,,
100,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,1650.82,0.0,,
101,ACH,2020-03-01,616120,20-STRUCT0,ALLIANZ,1650.82,0.0,,
102,ACH,2020-03-02,625600,20-STRUCT0,REPAS,285.82,0.0,,
103,ACH,2020-03-02,625600,20-STRUCT0,REPAS,208.0,0.0,,
104,ACH,2020-03-03,612306,20-STRUCT0,DIAC,381.1,0.0,,
105,ACH,2020-03-03,616120,20-STRUCT0,DIAC,36.53,0.0,,
106,ACH,2020-03-05,616120,20-STRUCT0,ALLIANZ,83.17,0.0,,
107,ACH,2020-03-05,616120,20-STRUCT0,ALLIANZ,80.93,0.0,,
108,ACH,2020-03-05,616120,20-STRUCT0,ALLIANZ,268.18,0.0,,
109,ACH,2020-03-08,616120,20-STRUCT0,CM - CIC BAIL,21.89,0.0,,
110,ACH,2020-03-08,612200,20-STRUCT0,CM - CIC BAIL,474.38,0.0,,
111,ACH,2020-03-11,616120,20-STRUCT0,CM - CIC BAIL,10.95,0.0,,
112,ACH,2020-03-11,612300,20-STRUCT0,CM - CIC BAIL,448.79,0.0,,
113,ACH,2020-03-11,616120,20-STRUCT0,CM - CIC BAIL,14.67,0.0,,
114,ACH,2020-03-14,616110,20-STRUCT0,SMA BTP - COTISATION PROVISIONNELLE,12090.74,0.0,,
115,ACH,2020-03-15,606100,20-STRUCT0,TOTAL,1198.09,0.0,,
116,ACH,2020-03-17,615000,20-STRUCT0,PEUGEOT METIN,2488.33,0.0,,
117,ACH,2020-03-25,612305,20-STRUCT0,VIAXEL,229.7,0.0,,
118,ACH,2020-03-25,616120,20-STRUCT0,VIAXEL,21.61,0.0,,
119,ACH,2020-03-25,611441,20-STRUCT0,MPC SANDRINE,490.0,0.0,,
