,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
168,0,,ACH,2020-12-01,,S,20-STRUCT
169,0,,ACH,2020-02-01,5220.743263232727,S,20-STRUCT
170,0,,ACH,2020-02-01,4284.298406672964,S,20-STRUCT
171,0,,ACH,2020-01-01,7746.62132862247,S,20-STRUCT
172,0,,ACH,2020-12-01,,S,20-STRUCT
173,0,,ACH,2020-11-01,,S,20-STRUCT
174,0,,ACH,2020-12-01,,S,20-STRUCT
175,0,,ACH,2020-01-01,5013.454854476033,S,20-STRUCT
176,0,,ACH,2020-04-01,0.0,S,20-STRUCT
177,0,,ACH,2020-11-01,,S,20-STRUCT
178,0,,ACH,2020-08-01,1609.56,S,20-STRUCT
179,0,,ACH,2020-08-01,,S,20-STRUCT
180,0,,ACH,2020-07-01,2735.65,S,20-STRUCT
181,0,,ACH,2020-07-01,3931.61,S,20-STRUCT
182,0,,ACH,2020-08-01,7518.84,S,20-STRUCT
183,0,,ACH,2020-06-01,8268.82678995866,S,20-STRUCT
184,0,,ACH,2020-06-01,0.0,S,20-STRUCT
185,0,,ACH,2020-09-01,5092.61,S,20-STRUCT
186,0,,ACH,2020-06-01,4391.531999061392,S,20-STRUCT
187,0,,ACH,2020-09-01,,S,20-STRUCT
188,0,,ACH,2020-05-01,8596.002617411314,S,20-STRUCT
189,0,,ACH,2020-02-01,8066.916385636331,S,20-STRUCT
190,0,,ACH,2020-09-01,7518.84,S,20-STRUCT
191,0,,ACH,2020-05-01,4565.293422788698,S,20-STRUCT
192,0,,ACH,2020-04-01,3725.7012637450207,S,20-STRUCT
193,0,,ACH,2020-10-01,,S,20-STRUCT
194,0,,ACH,2020-10-01,,S,20-STRUCT
195,0,,ACH,2020-07-01,7518.84,S,20-STRUCT
196,0,,ACH,2020-04-01,1978.7010581172813,S,20-STRUCT
197,0,,ACH,2020-10-01,,S,20-STRUCT
198,0,,ACH,2020-03-01,5542.562238615438,S,20-STRUCT
199,0,,ACH,2020-03-01,0.0,S,20-STRUCT
200,0,,ACH,2020-03-01,2943.6267134325503,S,20-STRUCT
201,0,,ACH,2020-11-01,,S,20-STRUCT
202,0,,ACH,2020-05-01,0.0,S,20-STRUCT
203,0,,ACH,2020-01-01,4114.191325251732,S,20-STRUCT
